Rk,Season,Lg,GP,G,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
45,1978-79,NHL,680,3.50,0.77,3.38,22.70,77.30,29.3,25.9,.883,3.45
46,1977-78,NHL,720,3.30,0.67,3.19,21.12,78.88,29.2,26.0,.889,3.26
47,1976-77,NHL,720,3.32,0.66,3.31,19.83,80.17,30.0,26.7,.891,3.28
48,1975-76,NHL,720,3.41,0.83,4.01,20.58,79.46,30.6,27.2,.890,3.37
49,1974-75,NHL,720,3.43,0.80,3.95,20.33,79.67,30.7,27.4,.890,3.38
50,1973-74,NHL,624,3.20,0.63,3.30,19.09,80.91,30.3,27.2,.896,3.16
51,1972-73,NHL,624,3.28,0.63,3.34,18.73,81.27,31.1,27.8,.896,3.24
52,1971-72,NHL,546,3.07,0.67,3.45,19.38,80.62,30.9,27.9,.903,3.02
53,1970-71,NHL,546,3.12,0.69,3.66,18.83,81.17,31.8,28.8,.903,3.09
54,1969-70,NHL,456,2.90,0.72,3.73,19.38,80.62,32.6,29.8,.912,2.88
55,1968-69,NHL,456,2.98,0.60,3.47,17.43,82.57,32.1,29.2,.908,2.95
56,1967-68,NHL,444,2.79,0.55,3.28,16.82,83.18,30.4,27.6,.910,2.75
57,1966-67,NHL,210,2.98,0.60,3.32,18.19,81.81,31.8,28.8,.907,2.96
58,1965-66,NHL,210,3.04,0.71,3.76,18.87,81.13,31.5,28.5,.904,3.02
59,1964-65,NHL,210,2.88,0.70,4.38,15.99,84.01,31.1,28.3,.909,2.85
60,1963-64,NHL,210,2.78,0.57,3.64,15.75,84.25,32.8,30.0,.916,2.75
61,1962-63,NHL,210,2.97,0.55,,,,31.8,28.9,.908,2.93
62,1961-62,NHL,210,3.01,0.57,,,,31.6,28.7,.906,2.98
63,1960-61,NHL,210,3.00,0.59,,,,32.2,29.2,.908,2.96
64,1959-60,NHL,210,2.95,0.54,,,,31.6,28.7,.908,2.92
65,1958-59,NHL,210,2.90,0.62,,,,30.3,27.4,.905,2.87
66,1957-58,NHL,210,2.80,0.59,,,,30.4,27.6,.909,2.78
67,1956-57,NHL,210,2.69,0.63,,,,29.8,27.1,.911,2.65
68,1955-56,NHL,210,2.53,0.60,,,,30.9,28.4,.919,2.49
69,1954-55,NHL,210,2.52,0.58,,,,,,,2.52
70,1953-54,NHL,210,2.40,0.59,,,,,,,2.37
71,1952-53,NHL,210,2.40,0.48,,,,,,,2.37
72,1951-52,NHL,210,2.60,0.53,,,,,,,2.56
73,1950-51,NHL,210,2.71,0.44,,,,,,,2.70
74,1949-50,NHL,210,2.73,0.54,,,,,,,2.73
75,1948-49,NHL,180,2.72,0.53,,,,,,,2.72
76,1947-48,NHL,180,2.93,0.50,,,,,,,2.93
77,1946-47,NHL,180,3.16,0.53,,,,,,,3.16
78,1945-46,NHL,150,3.34,0.44,,,,,,,3.34
79,1944-45,NHL,150,3.68,0.41,,,,,,,3.67
80,1943-44,NHL,150,4.08,0.40,,,,,,,4.08
81,1942-43,NHL,150,3.61,0.56,,,,,,,3.60
82,1941-42,NHL,168,3.12,0.44,,,,,,,3.02
83,1940-41,NHL,168,2.68,0.27,,,,,,,2.56
84,1939-40,NHL,168,2.49,0.26,,,,,,,2.41
85,1938-39,NHL,168,2.53,0.38,,,,,,,2.42
86,1937-38,NHL,192,2.53,0.30,,,,,,,2.44
87,1936-37,NHL,192,2.46,0.29,,,,,,,2.38
88,1935-36,NHL,192,2.16,0.37,,,,,,,2.08
89,1934-35,NHL,216,2.52,0.40,,,,,,,2.44
